SampleID,Tissue,Factor,Condition,Treatment,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
A0088,B171-DM+,MED1,mock,HD0,1,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0088/A0088.q30.sorted.umi_nr.bam,A0087,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0087/A0087.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0088.noBL.narrowPeak,narrow
A0089,B171-DM+,MED1,mock,HD0,2,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0089/A0089.q30.sorted.umi_nr.subsampled.sorted.bam,A0087,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0087/A0087.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0089.noBL.narrowPeak,narrow
A0090,B171-DM+,MED1,HD-1h,HD1,1,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0090/A0090.q30.sorted.umi_nr.subsampled.sorted.bam,A0087,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0087/A0087.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0090.noBL.narrowPeak,narrow
A0091,B171-DM+,MED1,HD-1h,HD1,2,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0091/A0091.q30.sorted.umi_nr.subsampled.sorted.bam,A0087,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0087/A0087.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0091.noBL.narrowPeak,narrow
A0092,B171-DM+,MED1,HD-2h,HD1,1,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0092/A0092.q30.sorted.umi_nr.subsampled.sorted.bam,A0087,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0087/A0087.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0092.noBL.narrowPeak,narrow
A0093,B171-DM+,MED1,HD-2h,HD1,2,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0093/A0093.q30.sorted.umi_nr.subsampled.sorted.bam,A0087,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0087/A0087.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0093.noBL.narrowPeak,narrow
