SampleID,Tissue,Factor,Condition,Treatment,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
A0069,PC3-NCI60-DM+,MED1,mock,HD0,1,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0069/A0069.q30.sorted.umi_nr.subsampled.sorted.bam,A0068,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0068/A0068.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0069.noBL.narrowPeak,narrow
A0072,PC3-NCI60-DM+,MED1,mock,HD0,2,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0072/A0072.q30.sorted.umi_nr.subsampled.sorted.bam,A0068,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0068/A0068.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0072.noBL.narrowPeak,narrow
A0070,PC3-NCI60-DM+,MED1,HD30min,HD1,1,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0070/A0070.q30.sorted.umi_nr.subsampled.sorted.bam,A0068,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0068/A0068.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0070.noBL.narrowPeak,narrow
A0073,PC3-NCI60-DM+,MED1,HD30min,HD1,2,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0073/A0073.q30.sorted.umi_nr.subsampled.sorted.bam,A0068,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0068/A0068.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0073.noBL.narrowPeak,narrow
A0071,PC3-NCI60-DM+,MED1,HD60min,HD1,1,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0071/A0071.q30.sorted.umi_nr.subsampled.sorted.bam,A0068,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0068/A0068.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0071.noBL.narrowPeak,narrow
A0074,PC3-NCI60-DM+,MED1,HD60min,HD1,2,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0074/A0074.q30.sorted.umi_nr.bam,A0068,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0068/A0068.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0074.noBL.narrowPeak,narrow
