dist	Gene	pairLabel
5.895532	SELENBP1	Nuc2_gene1_SE39
5.820107	SELENBP1	Nuc2_gene1_SE40
5.22961	SELENBP1	Nuc2_gene1_SE41
5.758805	SELENBP1	Nuc2_gene1_SE42
4.219607	SELENBP1	Nuc2_gene1_SE43
6.059407	SELENBP1	Nuc2_gene1_SE44
7.46671	SELENBP1	Nuc2_gene1_SE45
7.484328	SELENBP1	Nuc2_gene1_SE46
8.186312	SELENBP1	Nuc2_gene1_SE47
5.592528	SELENBP1	Nuc2_gene1_SE48
5.082337	SELENBP1	Nuc2_gene1_SE49
4.398498	SELENBP1	Nuc2_gene1_SE50
5.044483	SELENBP1	Nuc2_gene1_SE51
6.795131	SELENBP1	Nuc2_gene1_SE52
10.168617	SELENBP1	Nuc2_gene1_SE53
4.991617	SELENBP1	Nuc2_gene1_SE54
6.895174	SELENBP1	Nuc2_gene1_SE55
4.301354	SELENBP1	Nuc2_gene1_SE56
5.02416	SELENBP1	Nuc2_gene1_SE57
5.308125	SELENBP1	Nuc2_gene1_SE58
4.32081	SELENBP1	Nuc2_gene1_SE59
5.849199	SELENBP1	Nuc2_gene1_SE60
4.191329	SELENBP1	Nuc2_gene1_SE61
5.512067	SELENBP1	Nuc2_gene1_SE62
3.927234	SELENBP1	Nuc2_gene1_SE63
2.470506	SELENBP1	Nuc2_gene1_SE64
13.484506	SELENBP1	Nuc2_gene1_SE65
3.250421	SELENBP1	Nuc2_gene1_SE66
4.033398	SELENBP1	Nuc2_gene1_SE67
4.24319	SELENBP1	Nuc2_gene1_SE68
5.291191	SELENBP1	Nuc2_gene1_SE69
4.580087	SELENBP1	Nuc2_gene1_SE70
5.063252	SELENBP1	Nuc2_gene1_SE71
5.353299	SELENBP1	Nuc2_gene1_SE72
5.188911	SELENBP1	Nuc2_gene1_SE73
4.622614	SELENBP1	Nuc2_gene1_SE74
4.260304	SELENBP1	Nuc2_gene1_SE75
7.401334	SELENBP1	Nuc2_gene1_SE76
2.713732	SELENBP1	Nuc2_gene1_SE77
5.002864	SELENBP1	Nuc2_gene1_SE78
2.95731	SELENBP1	Nuc2_gene1_SE79
5.977898	SELENBP1	Nuc2_gene1_SE80
3.771675	SELENBP1	Nuc2_gene1_SE81
4.723025	SELENBP1	Nuc2_gene1_SE82
2.709794	SELENBP1	Nuc2_gene1_SE83
