dist	Gene	pairLabel
8.10542	VMP1	Nuc2_gene2_SE30
8.635311	VMP1	Nuc2_gene3_SE30
8.215501	VMP1	Nuc2_gene1_SE31
4.838457	VMP1	Nuc2_gene2_SE31
5.206065	VMP1	Nuc2_gene3_SE31
4.911172	VMP1	Nuc2_gene1_SE32
5.736647	VMP1	Nuc2_gene2_SE32
2.025834	VMP1	Nuc2_gene3_SE32
9.951747	VMP1	Nuc2_gene1_SE33
6.513309	VMP1	Nuc2_gene2_SE33
8.530571	VMP1	Nuc2_gene3_SE33
10.998122	VMP1	Nuc2_gene1_SE34
7.86677	VMP1	Nuc2_gene2_SE34
9.3519	VMP1	Nuc2_gene3_SE34
9.894999	VMP1	Nuc2_gene1_SE35
8.000345	VMP1	Nuc2_gene2_SE35
8.631969	VMP1	Nuc2_gene3_SE35
6.376998	VMP1	Nuc2_gene1_SE36
2.861294	VMP1	Nuc2_gene2_SE36
3.831971	VMP1	Nuc2_gene3_SE36
7.265628	VMP1	Nuc2_gene1_SE37
5.421059	VMP1	Nuc2_gene2_SE37
3.936474	VMP1	Nuc2_gene3_SE37
6.970493	VMP1	Nuc2_gene1_SE38
4.252876	VMP1	Nuc2_gene2_SE38
4.771128	VMP1	Nuc2_gene3_SE38
10.008824	VMP1	Nuc2_gene1_SE39
6.988979	VMP1	Nuc2_gene2_SE39
8.529712	VMP1	Nuc2_gene3_SE39
9.02269	VMP1	Nuc2_gene1_SE40
8.163729	VMP1	Nuc2_gene2_SE40
7.592634	VMP1	Nuc2_gene3_SE40
11.325829	VMP1	Nuc2_gene1_SE41
9.634319	VMP1	Nuc2_gene2_SE41
10.158202	VMP1	Nuc2_gene3_SE41
8.795397	VMP1	Nuc2_gene1_SE42
6.865528	VMP1	Nuc2_gene2_SE42
7.120938	VMP1	Nuc2_gene3_SE42
11.749683	VMP1	Nuc2_gene1_SE43
9.549337	VMP1	Nuc2_gene2_SE43
10.394893	VMP1	Nuc2_gene3_SE43
8.210005	VMP1	Nuc2_gene1_SE44
7.05209	VMP1	Nuc2_gene2_SE44
6.458656	VMP1	Nuc2_gene3_SE44
11.909179	VMP1	Nuc2_gene1_SE45
10.128776	VMP1	Nuc2_gene2_SE45
10.62525	VMP1	Nuc2_gene3_SE45
7.334238	VMP1	Nuc2_gene1_SE46
3.244718	VMP1	Nuc2_gene2_SE46
4.818693	VMP1	Nuc2_gene3_SE46
7.670561	VMP1	Nuc2_gene1_SE47
5.65681	VMP1	Nuc2_gene2_SE47
5.540799	VMP1	Nuc2_gene3_SE47
9.156963	VMP1	Nuc2_gene1_SE48
6.452778	VMP1	Nuc2_gene2_SE48
7.343368	VMP1	Nuc2_gene3_SE48
8.072588	VMP1	Nuc2_gene1_SE49
5.830933	VMP1	Nuc2_gene2_SE49
6.021873	VMP1	Nuc2_gene3_SE49
12.677225	VMP1	Nuc2_gene1_SE50
10.143532	VMP1	Nuc2_gene2_SE50
11.380529	VMP1	Nuc2_gene3_SE50
7.514284	VMP1	Nuc2_gene1_SE51
3.479959	VMP1	Nuc2_gene2_SE51
4.928599	VMP1	Nuc2_gene3_SE51
6.938497	VMP1	Nuc2_gene1_SE52
5.909503	VMP1	Nuc2_gene2_SE52
4.44294	VMP1	Nuc2_gene3_SE52
10.776362	VMP1	Nuc2_gene1_SE53
7.34078	VMP1	Nuc2_gene2_SE53
8.67747	VMP1	Nuc2_gene3_SE53
10.965479	VMP1	Nuc2_gene1_SE54
8.631997	VMP1	Nuc2_gene2_SE54
9.47014	VMP1	Nuc2_gene3_SE54
10.564095	VMP1	Nuc2_gene1_SE55
9.098016	VMP1	Nuc2_gene2_SE55
9.10903	VMP1	Nuc2_gene3_SE55
9.384657	VMP1	Nuc2_gene1_SE56
6.975053	VMP1	Nuc2_gene2_SE56
7.503637	VMP1	Nuc2_gene3_SE56
9.01861	VMP1	Nuc2_gene1_SE57
6.942223	VMP1	Nuc2_gene2_SE57
7.087198	VMP1	Nuc2_gene3_SE57
11.13582	VMP1	Nuc2_gene1_SE58
8.717173	VMP1	Nuc2_gene2_SE58
9.521434	VMP1	Nuc2_gene3_SE58
11.593629	VMP1	Nuc2_gene1_SE59
9.092597	VMP1	Nuc2_gene2_SE59
10.070683	VMP1	Nuc2_gene3_SE59
6.093896	VMP1	Nuc2_gene1_SE60
6.131524	VMP1	Nuc2_gene2_SE60
2.773912	VMP1	Nuc2_gene3_SE60
9.912565	VMP1	Nuc2_gene1_SE61
5.685474	VMP1	Nuc2_gene2_SE61
7.850997	VMP1	Nuc2_gene3_SE61
10.240021	VMP1	Nuc2_gene1_SE62
6.088507	VMP1	Nuc2_gene2_SE62
8.254328	VMP1	Nuc2_gene3_SE62
9.259512	VMP1	Nuc2_gene1_SE63
7.138468	VMP1	Nuc2_gene2_SE63
7.226644	VMP1	Nuc2_gene3_SE63
13.255242	VMP1	Nuc2_gene1_SE64
11.081212	VMP1	Nuc2_gene2_SE64
11.524762	VMP1	Nuc2_gene3_SE64
7.139378	VMP1	Nuc2_gene1_SE65
5.058698	VMP1	Nuc2_gene2_SE65
3.961988	VMP1	Nuc2_gene3_SE65
10.664852	VMP1	Nuc2_gene1_SE66
8.268366	VMP1	Nuc2_gene2_SE66
8.023131	VMP1	Nuc2_gene3_SE66
8.881659	VMP1	Nuc2_gene1_SE67
7.060646	VMP1	Nuc2_gene2_SE67
6.778734	VMP1	Nuc2_gene3_SE67
11.227272	VMP1	Nuc2_gene1_SE68
9.815836	VMP1	Nuc2_gene2_SE68
9.661563	VMP1	Nuc2_gene3_SE68
10.15302	VMP1	Nuc2_gene1_SE69
5.817214	VMP1	Nuc2_gene2_SE69
8.03585	VMP1	Nuc2_gene3_SE69
10.361038	VMP1	Nuc2_gene1_SE70
6.502611	VMP1	Nuc2_gene2_SE70
8.339913	VMP1	Nuc2_gene3_SE70
8.426812	VMP1	Nuc2_gene1_SE71
4.742815	VMP1	Nuc2_gene2_SE71
5.704797	VMP1	Nuc2_gene3_SE71
7.103104	VMP1	Nuc2_gene1_SE72
6.118453	VMP1	Nuc2_gene2_SE72
4.094096	VMP1	Nuc2_gene3_SE72
10.598382	VMP1	Nuc2_gene1_SE73
9.529839	VMP1	Nuc2_gene2_SE73
8.882543	VMP1	Nuc2_gene3_SE73
10.232468	VMP1	Nuc2_gene1_SE74
7.465183	VMP1	Nuc2_gene2_SE74
8.213984	VMP1	Nuc2_gene3_SE74
7.291018	VMP1	Nuc2_gene1_SE75
6.445241	VMP1	Nuc2_gene2_SE75
4.307315	VMP1	Nuc2_gene3_SE75
8.922633	VMP1	Nuc2_gene1_SE76
6.788564	VMP1	Nuc2_gene2_SE76
6.534642	VMP1	Nuc2_gene3_SE76
12.372607	VMP1	Nuc2_gene1_SE77
10.537799	VMP1	Nuc2_gene2_SE77
10.797575	VMP1	Nuc2_gene3_SE77
9.327522	VMP1	Nuc2_gene1_SE78
7.905909	VMP1	Nuc2_gene2_SE78
7.13726	VMP1	Nuc2_gene3_SE78
9.762123	VMP1	Nuc2_gene1_SE79
8.335588	VMP1	Nuc2_gene2_SE79
7.69554	VMP1	Nuc2_gene3_SE79
13.074646	VMP1	Nuc2_gene1_SE80
10.736512	VMP1	Nuc2_gene2_SE80
11.499923	VMP1	Nuc2_gene3_SE80
11.793965	VMP1	Nuc2_gene1_SE81
7.464427	VMP1	Nuc2_gene2_SE81
9.757224	VMP1	Nuc2_gene3_SE81
10.774319	VMP1	Nuc2_gene1_SE82
7.600116	VMP1	Nuc2_gene2_SE82
8.36283	VMP1	Nuc2_gene3_SE82
8.875732	VMP1	Nuc2_gene1_SE83
5.378634	VMP1	Nuc2_gene2_SE83
6.02112	VMP1	Nuc2_gene3_SE83
10.526092	VMP1	Nuc2_gene1_SE84
7.644145	VMP1	Nuc2_gene2_SE84
8.299537	VMP1	Nuc2_gene3_SE84
10.032786	VMP1	Nuc2_gene1_SE85
7.910623	VMP1	Nuc2_gene2_SE85
7.804079	VMP1	Nuc2_gene3_SE85
8.969331	VMP1	Nuc2_gene1_SE86
5.311227	VMP1	Nuc2_gene2_SE86
6.086322	VMP1	Nuc2_gene3_SE86
9.731606	VMP1	Nuc2_gene1_SE87
8.282053	VMP1	Nuc2_gene2_SE87
7.425339	VMP1	Nuc2_gene3_SE87
9.827201	VMP1	Nuc2_gene1_SE88
7.047181	VMP1	Nuc2_gene2_SE88
7.276248	VMP1	Nuc2_gene3_SE88
13.155766	VMP1	Nuc2_gene1_SE89
11.808479	VMP1	Nuc2_gene2_SE89
11.51058	VMP1	Nuc2_gene3_SE89
8.160639	VMP1	Nuc2_gene1_SE90
7.338162	VMP1	Nuc2_gene2_SE90
4.78993	VMP1	Nuc2_gene3_SE90
9.841697	VMP1	Nuc2_gene1_SE91
6.81649	VMP1	Nuc2_gene2_SE91
7.184086	VMP1	Nuc2_gene3_SE91
9.016391	VMP1	Nuc2_gene1_SE92
6.778945	VMP1	Nuc2_gene2_SE92
5.885218	VMP1	Nuc2_gene3_SE92
8.418781	VMP1	Nuc2_gene1_SE93
7.112795	VMP1	Nuc2_gene2_SE93
