dist	Gene	pairLabel
8.33367	CD36	Nuc5_gene1_SE30
10.894712	CD36	Nuc5_gene1_SE31
6.176174	CD36	Nuc5_gene1_SE32
10.158721	CD36	Nuc5_gene1_SE33
8.078228	CD36	Nuc5_gene1_SE34
9.985438	CD36	Nuc5_gene1_SE35
10.939292	CD36	Nuc5_gene1_SE36
7.074221	CD36	Nuc5_gene1_SE37
10.465588	CD36	Nuc5_gene1_SE38
8.457537	CD36	Nuc5_gene1_SE39
10.505405	CD36	Nuc5_gene1_SE40
10.111445	CD36	Nuc5_gene1_SE41
5.534218	CD36	Nuc5_gene1_SE42
5.216902	CD36	Nuc5_gene1_SE43
10.408399	CD36	Nuc5_gene1_SE44
6.177749	CD36	Nuc5_gene1_SE45
7.256165	CD36	Nuc5_gene1_SE46
8.92981	CD36	Nuc5_gene1_SE47
9.581372	CD36	Nuc5_gene1_SE48
10.312122	CD36	Nuc5_gene1_SE49
10.216163	CD36	Nuc5_gene1_SE50
5.740159	CD36	Nuc5_gene1_SE51
5.505772	CD36	Nuc5_gene1_SE52
7.57341	CD36	Nuc5_gene1_SE53
8.596505	CD36	Nuc5_gene1_SE54
5.965097	CD36	Nuc5_gene1_SE55
9.036391	CD36	Nuc5_gene1_SE56
9.782941	CD36	Nuc5_gene1_SE57
10.804745	CD36	Nuc5_gene1_SE58
5.263455	CD36	Nuc5_gene1_SE59
6.221635	CD36	Nuc5_gene1_SE60
5.14556	CD36	Nuc5_gene1_SE61
9.738473	CD36	Nuc5_gene1_SE62
4.70877	CD36	Nuc5_gene1_SE63
5.261727	CD36	Nuc5_gene1_SE64
7.270727	CD36	Nuc5_gene1_SE65
5.94526	CD36	Nuc5_gene1_SE66
6.020425	CD36	Nuc5_gene1_SE67
5.664638	CD36	Nuc5_gene1_SE68
7.259254	CD36	Nuc5_gene1_SE69
10.435466	CD36	Nuc5_gene1_SE70
5.097591	CD36	Nuc5_gene1_SE71
9.177136	CD36	Nuc5_gene1_SE72
5.400734	CD36	Nuc5_gene1_SE73
6.700243	CD36	Nuc5_gene1_SE74
4.552506	CD36	Nuc5_gene1_SE75
5.233129	CD36	Nuc5_gene1_SE76
7.842313	CD36	Nuc5_gene1_SE77
10.29795	CD36	Nuc5_gene1_SE78
4.226956	CD36	Nuc5_gene1_SE79
7.300353	CD36	Nuc5_gene1_SE80
5.283882	CD36	Nuc5_gene1_SE81
4.008246	CD36	Nuc5_gene1_SE82
5.208766	CD36	Nuc5_gene1_SE83
4.420665	CD36	Nuc5_gene1_SE84
4.524501	CD36	Nuc5_gene1_SE85
5.43071	CD36	Nuc5_gene1_SE86
4.572383	CD36	Nuc5_gene1_SE87
4.611326	CD36	Nuc5_gene1_SE88
7.019678	CD36	Nuc5_gene1_SE89
4.319572	CD36	Nuc5_gene1_SE90
3.798498	CD36	Nuc5_gene1_SE91
3.900331	CD36	Nuc5_gene1_SE92
9.601068	CD36	Nuc5_gene1_SE93
2.689695	CD36	Nuc5_gene1_SE94
2.62058	CD36	Nuc5_gene1_SE95
3.451502	CD36	Nuc5_gene1_SE96
6.600701	CD36	Nuc5_gene1_SE97
2.376514	CD36	Nuc5_gene1_SE98
5.769812	CD36	Nuc5_gene1_SE99
7.106769	CD36	Nuc5_gene1_SE100
3.253548	CD36	Nuc5_gene1_SE101
8.026482	CD36	Nuc5_gene1_SE102
5.425196	CD36	Nuc5_gene1_SE103
7.201912	CD36	Nuc5_gene1_SE104
8.161701	CD36	Nuc5_gene1_SE105
1.72518	CD36	Nuc5_gene1_SE106
2.39031	CD36	Nuc5_gene1_SE107
6.31881	CD36	Nuc5_gene1_SE108
4.076246	CD36	Nuc5_gene1_SE109
3.179197	CD36	Nuc5_gene1_SE110
0.45605	CD36	Nuc5_gene1_SE111
5.708108	CD36	Nuc5_gene1_SE112
1.645523	CD36	Nuc5_gene1_SE113
10.107555	CD36	Nuc5_gene1_SE114
2.423271	CD36	Nuc5_gene1_SE115
0.969775	CD36	Nuc5_gene1_SE116
2.456287	CD36	Nuc5_gene1_SE117
4.513356	CD36	Nuc5_gene1_SE118
7.366903	CD36	Nuc5_gene1_SE119
8.833789	CD36	Nuc5_gene1_SE120
6.262996	CD36	Nuc5_gene1_SE121
3.042824	CD36	Nuc5_gene1_SE122
3.64431	CD36	Nuc5_gene1_SE123
7.266363	CD36	Nuc5_gene1_SE124
6.364497	CD36	Nuc5_gene1_SE125
4.973526	CD36	Nuc6_gene1_SE1
5.044359	CD36	Nuc6_gene1_SE2
4.134359	CD36	Nuc6_gene1_SE3
7.008235	CD36	Nuc6_gene1_SE4
3.088758	CD36	Nuc6_gene1_SE5
3.492978	CD36	Nuc6_gene1_SE6
2.496766	CD36	Nuc6_gene1_SE7
6.114839	CD36	Nuc6_gene1_SE8
5.731387	CD36	Nuc6_gene1_SE9
2.023462	CD36	Nuc6_gene1_SE10
3.283741	CD36	Nuc6_gene1_SE11
5.89086	CD36	Nuc6_gene1_SE12
2.351359	CD36	Nuc6_gene1_SE13
7.755692	CD36	Nuc6_gene1_SE14
3.008696	CD36	Nuc6_gene1_SE15
2.78951	CD36	Nuc6_gene1_SE16
2.355072	CD36	Nuc6_gene1_SE17
3.059219	CD36	Nuc6_gene1_SE18
4.367171	CD36	Nuc6_gene1_SE19
1.776512	CD36	Nuc7_gene1_SE1
4.315841	CD36	Nuc7_gene1_SE2
4.148826	CD36	Nuc7_gene1_SE3
2.326638	CD36	Nuc7_gene1_SE4
5.243737	CD36	Nuc7_gene1_SE5
2.713263	CD36	Nuc7_gene1_SE6
3.313021	CD36	Nuc7_gene1_SE7
2.92343	CD36	Nuc7_gene1_SE8
3.710772	CD36	Nuc7_gene1_SE9
2.861602	CD36	Nuc7_gene1_SE10
2.275213	CD36	Nuc7_gene1_SE11
3.021758	CD36	Nuc7_gene1_SE12
3.827268	CD36	Nuc7_gene1_SE13
3.190283	CD36	Nuc7_gene1_SE14
4.787071	CD36	Nuc7_gene1_SE15
3.061783	CD36	Nuc7_gene1_SE16
5.006795	CD36	Nuc7_gene1_SE17
2.789693	CD36	Nuc7_gene1_SE18
2.468633	CD36	Nuc7_gene1_SE19
2.586019	CD36	Nuc7_gene1_SE20
5.518902	CD36	Nuc7_gene1_SE21
3.245525	CD36	Nuc7_gene1_SE22
4.839373	CD36	Nuc7_gene1_SE23
1.892513	CD36	Nuc7_gene1_SE24
4.317967	CD36	Nuc7_gene1_SE25
3.077168	CD36	Nuc7_gene1_SE26
