dist	Gene	pairLabel
8.909001	CD36	Nuc9_gene2_SE14
2.870463	CD36	Nuc9_gene1_SE15
7.152133	CD36	Nuc9_gene2_SE15
2.10802	CD36	Nuc9_gene1_SE16
8.628388	CD36	Nuc9_gene2_SE16
3.17468	CD36	Nuc9_gene1_SE17
7.744316	CD36	Nuc9_gene2_SE17
2.111902	CD36	Nuc9_gene1_SE18
7.877379	CD36	Nuc9_gene2_SE18
2.68793	CD36	Nuc9_gene1_SE19
9.051236	CD36	Nuc9_gene2_SE19
1.971169	CD36	Nuc9_gene1_SE20
8.548906	CD36	Nuc9_gene2_SE20
2.351784	CD36	Nuc9_gene1_SE21
7.952772	CD36	Nuc9_gene2_SE21
2.221653	CD36	Nuc9_gene1_SE22
7.219147	CD36	Nuc9_gene2_SE22
1.348928	CD36	Nuc9_gene1_SE23
7.247905	CD36	Nuc9_gene2_SE23
4.010493	CD36	Nuc9_gene1_SE24
9.265545	CD36	Nuc9_gene2_SE24
1.982171	CD36	Nuc9_gene1_SE25
7.386662	CD36	Nuc9_gene2_SE25
1.22796	CD36	Nuc9_gene1_SE26
7.087119	CD36	Nuc9_gene2_SE26
4.382221	CD36	Nuc9_gene1_SE27
6.375824	CD36	Nuc9_gene2_SE27
3.361179	CD36	Nuc9_gene1_SE28
6.603813	CD36	Nuc9_gene2_SE28
3.759794	CD36	Nuc9_gene1_SE29
6.587085	CD36	Nuc9_gene2_SE29
3.957823	CD36	Nuc9_gene1_SE30
6.569517	CD36	Nuc9_gene2_SE30
2.727279	CD36	Nuc9_gene1_SE31
